,coddpto,departamento,codmunicipio,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,Precipitación mm,Humedad %,Temperatura°C
109,13,Bolívar,"13,244",el carmen de bolivar,maiz tradicional,2016,500.0,450.0,675.0,1.5,1550.5666666666666,74.14252125158256,28.118124479352613
110,13,Bolívar,"13,244",el carmen de bolivar,maiz tradicional,2016,500.0,450.0,675.0,1.5,1550.5666666666666,74.14252125158256,28.118124479352613
111,13,Bolívar,"13,244",el carmen de bolivar,ñame,2016,3000.0,3000.0,36000.0,12.0,1550.5666666666666,74.14252125158256,28.118124479352613
112,13,Bolívar,"13,244",el carmen de bolivar,ñame,2016,1000.0,1000.0,12000.0,12.0,1550.5666666666666,74.14252125158256,28.118124479352613
113,13,Bolívar,"13,244",el carmen de bolivar,platano,2016,1400.0,800.0,8000.0,10.0,1550.5666666666666,74.14252125158256,28.118124479352613
114,13,Bolívar,"13,244",el carmen de bolivar,tabaco negro,2016,300.0,250.0,500.0,2.0,1550.5666666666666,74.14252125158256,28.118124479352613
115,13,Bolívar,"13,244",el carmen de bolivar,tabaco rubio,2016,800.0,750.0,1125.0,1.5,1550.5666666666666,74.14252125158256,28.118124479352613
116,13,Bolívar,"13,244",el carmen de bolivar,yuca,2016,5000.0,5000.0,50000.0,10.0,1550.5666666666666,74.14252125158256,28.118124479352613
117,13,Bolívar,"13,248",el guamo,frijol,2016,500.0,400.0,600.0,1.5,937.0,73.9714695569015,29.030767452612114
118,13,Bolívar,"13,248",el guamo,maiz tradicional,2016,900.0,600.0,900.0,1.5,937.0,73.9714695569015,29.030767452612114
119,13,Bolívar,"13,248",el guamo,maiz tradicional,2016,400.0,250.0,375.0,1.5,937.0,73.9714695569015,29.030767452612114
120,13,Bolívar,"13,248",el guamo,maiz tradicional,2016,1500.0,800.0,1200.0,1.5,937.0,73.9714695569015,29.030767452612114
121,13,Bolívar,"13,248",el guamo,maiz tradicional,2016,800.0,600.0,900.0,1.5,937.0,73.9714695569015,29.030767452612114
122,13,Bolívar,"13,248",el guamo,mango,2016,15.0,15.0,195.0,13.0,937.0,73.9714695569015,29.030767452612114
123,13,Bolívar,"13,248",el guamo,naranja,2016,13.0,13.0,169.0,13.0,937.0,73.9714695569015,29.030767452612114
124,13,Bolívar,"13,248",el guamo,ñame,2016,200.0,180.0,1800.0,10.0,937.0,73.9714695569015,29.030767452612114
125,13,Bolívar,"13,248",el guamo,platano,2016,30.0,24.0,168.0,7.0,937.0,73.9714695569015,29.030767452612114
