,CodigoEstacion,Categoria,Entidad,Departamento,Municipio,IdParametro,Etiqueta,Frecuencia,Fecha,Valor,Grado,Año
40,25021180,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mompos,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1988.0,50,2018
41,25021180,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mompos,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1845.0,50,2019
42,25021180,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mompos,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1863.0,50,2020
43,23205030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Santa Rosa Del Sur,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,2181.7,4,2016
44,23205030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Santa Rosa Del Sur,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1980.8,4,2017
45,23205030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Santa Rosa Del Sur,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1551.3,50,2018
46,23205030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Santa Rosa Del Sur,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1709.4,50,2019
47,23205030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Santa Rosa Del Sur,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2043.2,50,2020
48,25021090,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Fernando,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,2169.0,50,2016
49,25021090,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Fernando,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2077.0,50,2017
50,25021090,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Fernando,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1396.0,50,2018
51,25021090,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Fernando,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1498.0,4,2019
52,25021090,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Fernando,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2065.0,50,2020
53,23200060,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Pablo,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,2691.0,50,2016
54,23200060,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Pablo,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2777.9,4,2018
55,23200060,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Pablo,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,2060.8,50,2019
56,23200060,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Pablo,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2729.1,50,2020
57,23200010,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Simiti,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1700.0,50,2016
58,23200010,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Simiti,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1714.0,50,2017
59,23200010,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Simiti,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2165.0,50,2018
60,23200010,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Simiti,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1562.0,50,2019
61,23200010,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Simiti,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1513.0,50,2020
62,29035000,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1978.2,4,2016
63,29035000,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1600.2,50,2017
64,29035000,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1506.7,4,2018
65,29035000,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1082.3,4,2019
66,29035000,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1418.9,50,2020
67,29030320,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1118.4,4,2016
68,29030320,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1017.5,50,2017
69,29030320,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,875.5,50,2018
